MERIDIAN M&A IT Intelligence Report - Full Data Export
Generated: 2026-02-21T01:33:57.053Z

=== DEAL METADATA ===
Field,Value
"Target Name","Tampa Bay Surgical Center Midtown"
"Industry","Healthcare"
"Deal Code","MRD-2026-001"
"Stage","Initial Screening"
"Status","on-track"
"Facility Count","1"
"User Count","0"
"Estimated Integration Cost",
"Composite Score","56.0"
"Overall Confidence","low"
"Documents Uploaded","57"
"Documents Analyzed","57"
"Created At","2026-02-20T19:24:58.646Z"

=== RISK PILLARS ===
Pillar Name,Score,Weight,Finding Count,Evidence Confidence,Confidence Label,Document Count,Score Cap
"Integration Complexity",2.7,0.15,16,1.00,"high",6,5.0
"Technology Org & Talent",4.0,0.10,1,0.25,"low",2,4.0
"Data Assets & Governance",4.0,0.15,0,0.25,"low",1,4.0
"Infrastructure & Architecture",1.0,0.15,97,1.00,"high",44,5.0
"Cybersecurity Posture",3.0,0.20,0,0.00,"insufficient",0,3.0
"Regulatory Compliance",3.0,0.25,0,0.00,"insufficient",0,3.0

=== FINDINGS ===
Title,Severity,Status,Description,Impact Estimate,Remediation Notes,Source Count,Created At
"Current IT Provider","high","open","IT provider, Lance, was unavailable during site visit. Jay (Admin) was supposed to facilitate a follow up meeting with Lance and provide documentation.",,,0,"2026-02-20T19:25:37.495Z"
"Cisco IP phone displaying error state with 'X' symbol on blue screen","medium","open","Cisco IP phone displaying error state with 'X' symbol on blue screen

Risk Relevance: Non-functional communication equipment could indicate infrastructure issues, network connectivity problems, or poor maintenance practices that may affect business continuity and operational efficiency post-acquisition

[Auto-detected from image analysis: IMG_1169.png]",,,1,"2026-02-20T20:48:49.991Z"
"Commercial multifunction printer visible with network connectivity capabilities but no clear identif","medium","open","Commercial multifunction printer visible with network connectivity capabilities but no clear identification of make, model, or firmware version

Risk Relevance: Network-connected printers can pose security risks if not properly managed, updated, or configured with appropriate security settings. They often have default credentials and can be entry points for network attacks

[Auto-detected from image analysis: IMG_1194.png]",,,1,"2026-02-20T20:48:50.443Z"
"Building automation/HVAC control device visible, which represents operational technology that may be","medium","open","Building automation/HVAC control device visible, which represents operational technology that may be connected to corporate networks

Risk Relevance: OT devices like thermostats and building controls can create security risks if connected to corporate networks without proper segmentation, as they often have weak security controls and can be entry points for attackers

[Auto-detected from image analysis: IMG_1180.png]",,,1,"2026-02-20T20:48:53.558Z"
"Phone display shows what appears to be a custom logo or application rather than standard telephony i","medium","open","Phone display shows what appears to be a custom logo or application rather than standard telephony interface

Risk Relevance: Custom applications or configurations on telephony equipment may indicate integration complexity or proprietary systems that could affect migration planning

[Auto-detected from image analysis: IMG_1169.png]",,,1,"2026-02-20T20:49:08.569Z"
"Commercial multifunction printer visible but specific model, firmware version, and security configur","medium","open","Commercial multifunction printer visible but specific model, firmware version, and security configurations cannot be determined from the image

Risk Relevance: Multifunction printers are often overlooked in security assessments but can pose significant risks if not properly secured - they may store documents in memory, have network connectivity, and run outdated firmware with vulnerabilities

[Auto-detected from image analysis: IMG_1194.png]",,,1,"2026-02-20T20:49:22.260Z"
"Device appears to have network connectivity based on its commercial nature and control panel display","medium","open","Device appears to have network connectivity based on its commercial nature and control panel display

Risk Relevance: Network-connected printers expand the attack surface and require proper network segmentation, access controls, and regular security updates to prevent them from being entry points for attackers

[Auto-detected from image analysis: IMG_1194.png]",,,1,"2026-02-20T20:49:22.355Z"
"Physical access to network infrastructure appears to be in an unsecured or easily accessible locatio","medium","open","Physical access to network infrastructure appears to be in an unsecured or easily accessible location

Risk Relevance: Unsecured physical access to network equipment poses security risks and could allow unauthorized network access or tampering

[Auto-detected from image analysis: IMG_1181.png]",,,1,"2026-02-20T20:49:36.916Z"
